,Star_name,Distance,Mass,Radius,Gravity
217,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109,1.5564323224005437e-62
218,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589,7.1001080963162704e-62
219,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722,5.0428336787093935e-62
220,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722,5.1629011472500945e-62
221,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589,7.1001080963162704e-62
222,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011,5.525017690429968e-62
223,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722,4.922766210168693e-62
224,LSPM J1658+7027 [de],60,0.069684924,0.10687352,7.160399324877084e-62
225,2MASSI J1726000+153819,114,0.022910112,0.1438682,1.299081002480356e-62
226,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011,5.29950676428997e-62
227,2MASS J18283572-4849046,39,0.04295646,0.09762485,5.289886630598681e-62
228,LSR J1835+3259,18.5,0.073503276,0.10995641,7.13516846064923e-62
229,2MASSW J1841086+311727,138,0.063957396,0.10379063,6.968079814304168e-62
230,2MASS J18432213+4040209,46,0.091640448,0.12537086,6.842780878423806e-62
231,2MASS J20004841-7523070,105,0.0238647,0.19319444,7.50421678379374e-63
232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,5.295371418530675e-62
233,2MASSI J2057540-025230,47,0.06682116,0.10481826,7.138036393867136e-62
234,2MASSI J2104149-103736,62,0.065866572,0.10481826,7.036064445383319e-62
235,PSO J318.5−22,80,0.006204822,0.15722739,2.9458562895324683e-63
236,HB 2124-4228,113,0.089731272,0.12434323,6.811428064367779e-62
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,5.295371418530675e-62
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,5.953513759964219e-62
239,2MASSW J2206450-421721,93,0.021000936,0.13667479,1.3194728557048865e-62
240,2MASSW J2208136+292121,154,0.025773876,0.14489583,1.4408096224883983e-62
241,2MASSW J2224438-015852,38,0.058229868,0.10173537,6.602987988323951e-62
242,2MASS J22282889-4310262,35,0.040092696,0.09659722,5.0428336787093935e-62
243,2MASS J22373255+3922398,64,0.069684924,0.10687352,7.160399324877084e-62
244,2MASSW J2244316+204343,56,0.011455056,0.13256427,7.650377876514325e-63
245,2MASS J23224684-3133231,56,0.022910112,0.14284057,1.3178400522030422e-62
246,2MASS J23225299-6151275,148,0.016227996,0.16339317,7.134043188337331e-63
247,2MASS J23515044-2537367,67,0.084003744,0.11920508,6.9382150251378495e-62
248,2MASSI J2356547-155310,74,0.07636704,0.11201167,7.1436151975464975e-62
249,WISE 0410+1502,20,0.005727528,0.12023271,4.650081753344835e-63
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,9.021395850558025e-64
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,7.34706476472039e-64
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.4471070969610065e-10
